Date,ha_e_AllUnc_mean,ha_w_AllUnc_ba_mean
1996-07-28,5106.806878890694,8275.92186578871
1996-07-29,5179.57823488511,8647.708763586043
1996-07-30,5122.981719354105,8830.73649025959
1996-07-31,5223.944599272552,8631.72558179075
1996-08-01,5221.181936331051,8524.592838247894
1996-08-02,5206.8660127325975,7945.652189340448
1996-08-03,5115.007104932533,7083.470804740135
1996-08-04,5132.559792427549,6530.6557480057245
1996-08-05,5136.881101697648,6378.2470081408555
1996-08-06,5084.902415549128,6445.029370521434
1996-08-07,5102.340689469844,6618.559358299195
1996-08-08,4979.951634137385,6608.9095416627715
1996-08-09,5015.808185398247,6904.709887049286
1996-08-10,5110.306753320758,7247.376218457961
1996-08-11,5109.019934164453,7599.431772116671
1996-08-12,5125.679309254212,7663.646219487331
1996-08-13,4965.04732725776,7592.2613025013725
1996-08-14,5022.3735923129925,7717.747816891027
1996-08-15,5136.98856644402,8129.15196564453
1996-08-16,5220.361185429608,8704.444672530004
1996-08-17,5358.724641223827,9264.906641338657
1996-08-18,5395.187653923636,9471.158756845181
1996-08-19,5415.235863884381,9477.86105912464
1996-08-20,5434.683538735277,9751.525546388211
1996-08-21,5118.322552138556,9477.00670207727
