"","outp_tim","spgAtQ","spgAtN","spgMsQ","spgMsN","spgWwi","smrAtQ","smrWwi","smr14wi2W","smr14wi2E"
"3395",2012-09-09,2345.2641610752,8823.57424350824,5441.2393884672,16946.3571539866,-0.381492514833333,1897.20842284924,0.805595278166667,25.61843927,79.14504078
"3396",2012-09-10,2319.1497358848,8708.80163526177,5399.078750208,16715.6301084477,-0.352610843,1885.18137510317,0.674145239333333,25.49458678,73.44643032
"3397",2012-09-11,2304.3620493312,8637.8125934058,5364.7839026688,16512.7419837213,-0.308007532833333,1879.2439717855,0.561245324166667,23.30498776,64.22431262
"3398",2012-09-12,2283.2817302016,8543.28652555896,5329.859791872,16306.6804420222,-0.3228799475,1877.08214801342,0.463481833166667,22.07131233,53.83098944
"3399",2012-09-13,2270.3818334208,8480.44298009112,5289.9015750144,16084.0212083317,-0.339771304666667,1874.77823253801,0.386905798333333,20.57708829,45.56797815
"3400",2012-09-14,2253.0770938368,8401.50105718931,5247.4263051264,15852.8097351952,-0.266058219833333,1871.78415736072,0.251212017833333,19.72934044,43.74358791
"3401",2012-09-15,2228.2211951616,8293.55002144806,5203.6925087232,15617.8289292364,-0.136939396666667,1870.57637788243,0.133472986,18.27900033,46.22848177
"3402",2012-09-16,2202.4214016,8181.91982629245,5161.531870464,15388.0941988055,-0.0312319526666667,1869.13516203437,0.0661022933333334,16.81106545,45.53198241
"3403",2012-09-17,2182.5996089856,8093.14862027782,5122.202916864,15167.8816636254,0.062325432,1867.338716928,-0.000792771999999979,15.11192045,42.14174856
"3404",2012-09-18,2164.0363428864,8009.45109434093,5083.1885948928,14949.806715068,0.185388171333333,1872.3220759519,-0.0263810260000001,14.27455175,41.88744297
"3405",2012-09-19,2147.9901298176,7934.73461619381,5047.6352208384,14742.7529610156,0.369443519166667,1866.99363707706,-0.0121352038333333,14.04528771,47.20369812
"3406",2012-09-20,2135.7194962944,7874.52269446642,5015.5427947008,14548.3289446416,0.514264216833333,1862.90342590266,-0.105083483166667,13.97387321,47.58604262
"3407",2012-09-21,2125.0220209152,7819.99179592074,4983.4503685632,14355.8438933996,0.590477579333333,1861.05623375938,-0.170973964333333,13.40123152,46.16455232
"3408",2012-09-22,2110.5489659904,7751.80457627838,4953.874995456,14173.4314423061,0.641026325333333,1862.82223064361,-0.201284202333333,13.04223567,44.66406699
"3409",2012-09-23,2095.446647808,7681.18493628101,4923.6703590912,13990.1808358757,0.673511771666667,1863.37029864217,-0.222629825333333,12.37261829,41.12444405
"3410",2012-09-24,2083.1760142848,7621.76982809529,4893.7803543552,13808.3187896798,0.685178380333333,1861.87833575721,-0.252058724666667,11.52892601,37.79592399
"3411",2012-09-25,2067.129801216,7548.41886569932,4865.4635077632,13631.5264540694,0.682043909666667,1861.58400294317,-0.270286529333333,10.75968214,35.3161853
"3412",2012-09-26,2055.8030625792,7492.85321236658,4835.888134656,13452.1324164548,0.674569081,1857.80842339757,-0.295261971,11.75562924,32.97424907
"3413",2012-09-27,2047.9372718592,7450.41686675471,4808.2005513216,13279.7916190322,0.703434285166667,1853.67761459365,-0.375913184833333,13.60203137,31.45942974
"3414",2012-09-28,2038.812954624,7403.41448551092,4783.6592842752,13117.1057638059,0.701138640833333,1852.65252444821,-0.4319043455,14.07121773,29.13763395
